"id"	"x"	"y"	"z"	"date"	"source"	"epsg"
3	232075.427	6723257.975	NA	NA	"landsat1994jan12"	31982
7	228708.851	6723806.937	NA	NA	"landsat1994jan12"	31982
9	221934.366	6723033.934	NA	NA	"landsat1994jan12"	31982
10	224335.759	6719632.549	NA	NA	"landsat1994jan12"	31982
8	224396.1	6715805.97	NA	NA	"landsat1994jan12"	31982
14	229301.789	6717687.007	NA	NA	"landsat1994jan12"	31982
5	227783.748	6718746.087	NA	NA	"landsat1994jan12"	31982
13	229793.939	6720342.645	NA	NA	"landsat1994jan12"	31982
6	230597.537	6720941.883	NA	NA	"landsat1994jan12"	31982
1	230929.715	6713935.503	NA	NA	"landsat1996dez03"	31982
4	230051.918	6715823.042	NA	NA	"landsat1996dez03"	31982
11	233263.758	6717258.715	NA	NA	"landsat1996dez03"	31982
2	232385.005	6717791.265	NA	NA	"landsat1996dez03"	31982
12	232109.662	6720600.723	NA	NA	"landsat1996dez03"	31982
3	232111.29	6723257.975	NA	NA	"landsat1996dez03"	31982
7	228732.76	6723806.937	NA	NA	"landsat1996dez03"	31982
9	221958.275	6723039.911	NA	NA	"landsat1996dez03"	31982
10	224347.713	6719632.549	NA	NA	"landsat1996dez03"	31982
8	224396.1	6715811.947	NA	NA	"landsat1996dez03"	31982
14	229301.789	6717681.03	NA	NA	"landsat1996dez03"	31982
5	227795.703	6718740.11	NA	NA	"landsat1996dez03"	31982
13	229805.893	6720336.667	NA	NA	"landsat1996dez03"	31982
6	230609.491	6720929.929	NA	NA	"landsat1996dez03"	31982
1	230935.692	6713947.457	NA	NA	"landsat1998dez25"	31982
4	230063.872	6715829.019	NA	NA	"landsat1998dez25"	31982
11	233269.735	6717276.647	NA	NA	"landsat1998dez25"	31982
2	232408.914	6717821.151	NA	NA	"landsat1998dez25"	31982
12	232133.571	6720630.609	NA	NA	"landsat1998dez25"	31982
3	232117.267	6723257.975	NA	NA	"landsat1998dez25"	31982
7	228744.714	6723824.868	NA	NA	"landsat1998dez25"	31982
9	221964.252	6723057.843	NA	NA	"landsat1998dez25"	31982
10	224359.668	6719644.504	NA	NA	"landsat1998dez25"	31982
8	224425.986	6715805.97	NA	NA	"landsat1998dez25"	31982
14	229295.812	6717681.03	NA	NA	"landsat1998dez25"	31982
