"","sampleid","sand","coarse_sand","medium_sand","fine_sand","very_fine_sand","clay"
"178","sm-dnos-330",366,NA,NA,NA,NA,92
"179","sm-dnos-331",362,10,43,122,175,35
"180","sm-dnos-331",365,NA,NA,NA,NA,74
"181","sm-dnos-332",201,30,62,58,38,407
"182","sm-dnos-332",214,NA,NA,NA,NA,417
"183","sm-dnos-333",259,2,65,84,56,277
"184","sm-dnos-333",262,NA,NA,NA,NA,247
"185","sm-dnos-334",409,31,140,135,76,125
"186","sm-dnos-334",422,NA,NA,NA,NA,142
"187","sm-dnos-335",359,28,99,149,54,112
"188","sm-dnos-335",350,NA,NA,NA,NA,95
"189","sm-dnos-336",277,49,102,67,31,288
"190","sm-dnos-336",268,NA,NA,NA,NA,257
"191","sm-dnos-337",232,31,92,67,36,240
"192","sm-dnos-337",233,NA,NA,NA,NA,236
"193","sm-dnos-338",237,30,64,81,46,281
"194","sm-dnos-338",241,NA,NA,NA,NA,286
"195","sm-dnos-339",430,22,142,175,73,163
"196","sm-dnos-339",455,NA,NA,NA,NA,166
"197","sm-dnos-340",189,3,15,67,100,243
"198","sm-dnos-340",206,6,17,69,106,247
